,Cities,Countries
39353,Le Chambon-Feugerolles,France
39354,Le Cendre,France
39355,Le Cellier,France
39356,Lecelles,France
39357,Le Castellet,France
39358,Le Cap d'Agde,France
39359,Le Cannet-des-Maures,France
39360,Le Cannet,France
39361,Le Canet,France
39362,Le Cailar,France
39363,Le Buisson-de-Cadouin,France
39364,Le Bugue,France
39365,Le Brusquet,France
39366,Le Broc,France
39367,Le Breuil-sur-Couze,France
39368,Le Breuil,France
39369,Le Breil-sur-Mérize,France
39370,Le Bousquet-d’Orb,France
39371,Le Bouscat,France
39372,Le Bourgneuf-la-Forêt,France
39373,Le Bourget-du-Lac,France
39374,Le Bourget,France
39375,Le Bourg-d’Oisans,France
39376,Le Boupère,France
39377,el Voló,France
39378,Le Bosc-Roger-en-Roumois,France
39379,Le Bono,France
39380,Le Bois-Plage-en-Ré,France
39381,Le Blanc-Mesnil,France
39382,Le Blanc,France
39383,Le Bignon,France
39384,Le Beausset,France
39385,Le Bar-sur-Loup,France
39386,Le Barp,France
39387,Le Barcarès,France
39388,Lay-Saint-Christophe,France
39389,Layrac,France
39390,Laxou,France
39391,La Wantzenau,France
39392,La Vraie-Croix,France
39393,Lavoux,France
39394,La Voulte-sur-Rhône,France
39395,Lavit,France
39396,La Ville-du-Bois,France
39397,La Villedieu-du-Clain,France
39398,Lavilledieu,France
39399,La Ville-aux-Dames,France
39400,La Ville-aux-Clercs,France
39401,La Vespière,France
39402,Lavérune,France
39403,La Verrière,France
39404,La Verrie,France
39405,La Verpillière,France
39406,Lavernose-Lacasse,France
39407,Laventie,France
39408,Lavelanet,France
39409,Lavaur,France
39410,La Vaupalière,France
39411,Lavault-Sainte-Anne,France
39412,La Varenne,France
39413,Lavardac,France
39414,Lavans-lès-Saint-Claude,France
39415,Laval-Pradel,France
39416,La Valette-du-Var,France
39417,Lavalette,France
39418,La Valentine,France
39419,Laval,France
39420,Lauzerte,France
39421,Lauwin-Planque,France
39422,Lautrec,France
39423,Lauterbourg,France
39424,Lautenbachzell,France
39425,Lautenbach,France
39426,Laussonne,France
39427,Lauris,France
39428,Laurens,France
39429,Laure-Minervois,France
39430,Launaguet,France
39431,Launac,France
39432,Laudun-l'Ardoise,France
39433,La Turbie,France
39434,La Turballe,France
39435,Lattes,France
39436,La Tronche,France
39437,La Trinité-sur-Mer,France
39438,La Trinité,France
39439,Latresne,France
39440,La Tremblade,France
39441,La Tranche-sur-Mer,France
39442,La Tour-sur-Orb,France
39443,La Tourlandry,France
39444,La Tour-en-Jarez,France
39445,La Tour-du-Pin,France
39446,La Tour-du-Crieu,France
39447,La Tour-de-Salvagny,France
39448,Latour-Bas-Elne,France
39449,La Tour,France
39450,Latillé,France
39451,Lathus-Saint-Rémy,France
39452,La Teste-de-Buch,France
39453,La Tessoualle,France
39454,La Terrasse,France
39455,La Tardière,France
39456,La Talaudière,France
39457,La Suze-sur-Sarthe,France
39458,Lassy,France
39459,Lassigny,France
39460,Lasseube,France
39461,Lassay-les-Châteaux,France
39462,La Souterraine,France
39463,La Seyne-sur-Mer,France
39464,La Sentinelle,France
39465,La Selle-la-Forge,France
39466,La Séguinière,France
39467,La Séauve-sur-Semène,France
39468,La Sauve,France
39469,La Saussaye,France
39470,La Salvetat-Peyralès,France
39471,La Salvetat-sur-Agout,France
39472,La Salvetat-Saint-Gilles,France
39473,La Salle-et-Chapelle-Aubry,France
39474,Lasalle,France
39475,Laruscade,France
39476,Laruns,France
39477,Larringes,France
39478,Larressore,France
39479,La Roquette-sur-Siagne,France
39480,Laroque-Timbaut,France
39481,Laroque-d’Olmes,France
39482,la Roca d'Albera,France
39483,La Roquebrussanne,France
39484,Laroquebrou,France
39485,Laroque,France
39486,La Romagne,France
39487,La Roche-Vineuse,France
39488,La Rochette,France
39489,La Rochette,France
39490,La Roche-sur-Yon,France
39491,La Roche-sur-Foron,France
39492,Laroche-Saint-Cydroine,France
39493,La Roche-Posay,France
39494,La Roche-Maurice,France
39495,La Rochelle,France
39496,La Rochefoucauld,France
39497,La Roche-des-Arnauds,France
39498,La Roche-Derrien,France
39499,La Roche-de-Glun,France
39500,La Roche-Chalais,France
39501,La Roche-Blanche,France
39502,Larmor-Plage,France
39503,Larmor-Baden,France
39504,La Rivière-Saint-Sauveur,France
39505,La Rivière-de-Corps,France
39506,La Riche,France
39507,La Richardais,France
39508,La Ricamarie,France
39509,Largentière,France
39510,La Réole,France
39511,La Remuée,France
39512,La Remaudière,France
39513,La Regrippière,France
39514,Lardy,France
39515,Larche,France
39516,Larchamp,France
39517,Larçay,France
39518,La Ravoire,France
39519,Larajasse,France
39520,Laragne-Montéglin,France
39521,La Queue-les-Yvelines,France
39522,La Queue-en-Brie,France
39523,Lapugnoy,France
39524,Lapte,France
39525,Lapoutroie,France
39526,La Pouëze,France
39527,La Possonnière,France
39528,La Pommeraye,France
39529,La Pommeraie-sur-Sèvre,France
39530,La Pomme,France
39531,Laplume,France
39532,La Planche,France
39533,La Plaine-sur-Mer,France
39534,Lapeyrouse-Fossat,France
39535,La Peyratte,France
39536,La Penne-sur-Huveaune,France
39537,La Panouse,France
39538,Lapalud,France
39539,Lapalisse,France
39540,La Pacaudière,France
39541,Laon,France
39542,Lanvollon,France
39543,Lanvéoc,France
39544,Lanvénégen,France
39545,Lanvallay,France
39546,Lantriac,France
39547,Lantosque,France
39548,Lanton,France
39549,Lantic,France
39550,Lanta,France
39551,Lans-en-Vercors,France
39552,Lansargues,France
39553,Lanrodec,France
39554,Lanrivoaré,France
39555,Lanquetot,France
39556,Lanouée,France
39557,Lanouaille,France
39558,La Norville,France
39559,Lanobre,France
39560,Lannoy,France
39561,Lannion,France
39562,Lannilis,France
39563,Lannemezan,France
39564,Lanmeur,France
39565,Lanmeur,France
39566,Languidic,France
39567,Langueux,France
39568,Langrune-sur-Mer,France
39569,Langres,France
39570,Langonnet,France
39571,Langon,France
39572,Langon,France
39573,Langoiran,France
39574,Langogne,France
39575,Langoat,France
39576,Langlade,France
39577,Langeais,France
39578,Langeac,France
39579,Laneuveville-devant-Nancy,France
39580,Lanester,France
39581,Landunvez,France
39582,Landudec,France
39583,Landser,France
39584,Landrévarzec,France
39585,Landres,France
39586,Landrecies,France
39587,Landivy,France
39588,Landivisiau,France
39589,Landiras,France
39590,Landévant,France
39591,Landeronde,France
39592,Landerneau,France
39593,Landemont,France
39594,Landeleau,France
39595,Landéhen,France
39596,Landéda,France
39597,Landéan,France
39598,Landaul,France
39599,Landas,France
39600,Lancrans,France
39601,Lançon-Provence,France
39602,Lancieux,France
39603,La Murette,France
39604,Lamure-sur-Azergues,France
39605,La Mure,France
39606,La Mulatière,France
39607,Lampertheim,France
39608,Lampaul-Plouarzel,France
39609,Lampaul-Guimiliau,France
39610,La Motte-Servolex,France
39611,La Motte-Saint-Martin,France
39612,La Motte-Saint-Jean,France
39613,La Motte-d’Aveillans,France
39614,Lamotte-Beuvron,France
39615,La Motte,France
39616,La Motte,France
39617,La Mothe-Saint-Héray,France
39618,Lamothe-Montravel,France
39619,La Mothe-Achard,France
39620,Lamorlaye,France
39621,Lamonzie-Saint-Martin,France
39622,La Montagne,France
39623,La Monnerie-le-Montel,France
39624,La Millère,France
39625,La Milesse,France
39626,La Mézière,France
39627,La Ménitré,France
39628,La Membrolle-sur-Longuenée,France
39629,La Membrolle-sur-Choisille,France
39630,La Meilleraye-de-Bretagne,France
39631,La Meilleraie-Tillay,France
39632,La Meignanne,France
39633,La Méaugon,France
39634,La Meauffe,France
39635,Lambres-lez-Douai,France
39636,Lambesc,France
39637,Lambersart,France
39638,Lamballe,France
39639,Lamastre,France
39640,Lamarque,France
39641,Lamarche-sur-Saône,France
39642,Lamarche,France
39643,Lamanon,France
39644,Lamalou-les-Bains,France
39645,La Mailleraye-sur-Seine,France
39646,Lamagistère,France
39647,La Madeleine-de-Nonancourt,France
39648,La Madeleine,France
39649,La Machine,France
39650,La Loupe,France
39651,La Loubière,France
39652,Laloubère,France
39653,La Longueville,France
39654,La Londe-les-Maures,France
39655,Lallaing,France
39656,Lalinde,France
39657,La Limouzinière,France
39658,Lalevade-d’Ardèche,France
39659,Lalbenque,France
39660,La Lande-Patry,France
39661,La Lande-de-Fronsac,France
39662,La Jumellière,France
39663,La Jubaudière,France
39664,La Jarrie,France
39665,La Jarne,France
39666,Laiz,France
39667,Laissac,France
39668,Lailly-en-Val,France
39669,Laillé,France
39670,Laigneville,France
39671,Laigné-en-Belin,France
39672,La Houssaye-en-Brie,France
39673,Lahonce,France
39674,La Haye-Pesnel,France
39675,La Haye-Malherbe,France
39676,La Haye-du-Puits,France
39677,Descartes,France
39678,La Haie-Fouassière,France
39679,La Guyonnière,France
39680,Laguiole,France
39681,La Guérinière,France
39682,La Guerche-de-Bretagne,France
39683,Laguenne,France
39684,La Grigonnais,France
39685,Lagrave,France
39686,La Grande-Paroisse,France
39687,La Grande-Motte,France
39688,La Grand-Croix,France
39689,La Gouesnière,France
39690,La Gorgue,France
39691,Lagord,France
39692,Lagorce,France
39693,Lagor,France
39694,Lagny-le-Sec,France
39695,Lagny-sur-Marne,France
39696,Lagnieu,France
39697,Lagnes,France
39698,La Glacerie,France
39699,La Génétouze,France
39700,La Gaude,France
39701,La Gaubretière,France
39702,Lagarrigue,France
39703,La Garnache,France
39704,La Garenne-Colombes,France
39705,Lagardelle-sur-Lèze,France
39706,La Garde-Freinet,France
39707,La Garde-Adhémar,France
39708,La Garde,France
39709,La Gacilly,France
39710,La Frette-sur-Seine,France
39711,La Fresnais,France
39712,La Francheville,France
39713,Lafrançaise,France
39714,La Fouillouse,France
39715,La Fouillade,France
39716,La Forêt-sur-Sèvre,France
39717,La Forêt-Fouesnant,France
39718,La Forest-Landerneau,France
39719,La Force,France
39720,La Flotte,France
39721,La Flocellière,France
39722,La Flèche,France
39723,La Flamengrie,France
39724,La Feuillie,France
39725,La Ferté-sous-Jouarre,France
39726,La Ferté-Saint-Aubin,France
39727,La Ferté-Milon,France
39728,La Ferté-Macé,France
39729,La Ferté-Imbault,France
39730,La Ferté-Gaucher,France
39731,La Ferté-Bernard,France
39732,La Ferté-Alais,France
39733,La Ferrière-aux-Étangs,France
39734,La Ferrière,France
39735,La Fère,France
39736,La Farlède,France
39737,La Fare-les-Oliviers,France
39738,Ladon,France
39739,La Dominelais,France
39740,Ladignac-le-Long,France
39741,La Destrousse,France
39742,La Daguenière,France
39743,Lacrouzette,France
39744,La Croix-Valmer,France
39745,Lacroix-Saint-Ouen,France
39746,La Croix-Rouge,France
39747,Lacroix-Falgarde,France
39748,La Croix-en-Touraine,France
39749,La Crau,France
39750,La Couture-Boussey,France
39751,La Couture,France
39752,La Courtine,France
39753,La Couronne,France
39754,La Courneuve,France
39755,La Couarde-sur-Mer,France
39756,La Côte-Saint-André,France
39757,La Coquille,France
39758,La Colle-sur-Loup,France
39759,La Cluse-et-Mijoux,France
39760,La Clusaz,France
39761,La Clayette,France
39762,La Ciotat,France
39763,La Chevrolière,France
39764,La Chaussée-Saint-Victor,France
39765,La Châtre,France
39766,La Châtaigneraie,France
39767,La Chartre-sur-le-Loir,France
39768,La Charité-sur-Loire,France
39769,La Chapelle-Thouarault,France
39770,La Chapelle-sur-Loire,France
39771,La Chapelle-sur-Erdre,France
39772,La Chapelle-sur-Crécy,France
39773,Lachapelle-sous-Aubenas,France
39774,La Chapelle-Saint-Ursin,France
39775,La Chapelle-Saint-Mesmin,France
39776,La Chapelle-Saint-Luc,France
39777,La Chapelle-Saint-Laurent,France
39778,La Chapelle-Saint-Florent,France
39779,La Chapelle-Saint-Aubin,France
39780,La Chapelle-Réanville,France
39781,La Chapelle-Launay,France
39782,La Chapelle-la-Reine,France
39783,La Chapelle-Janson,France
39784,La Chapelle-Heulin,France
39785,La Chapelle-Gauthier,France
39786,La Chapelle-en-Serval,France
39787,La Chapelle-du-Noyer,France
39788,La Chapelle-du-Genêt,France
39789,La Chapelle-des-Marais,France
39790,La Chapelle-des-Fougeretz,France
39791,La Chapelle-de-la-Tour,France
39792,La Chapelle-de-Guinchay,France
39793,La Chapelle-Basse-Mer,France
39794,Lachapelle-aux-Pots,France
39795,La Chapelle-Achard,France
39796,La Chambre,France
39797,La Chaize-le-Vicomte,France
39798,La Cerlangue,France
39799,La Celle-sur-Morin,France
39800,La Celle-Saint-Cloud,France
39801,La Celle-Saint-Avant,France
39802,La Celle,France
39803,La Cavalerie,France
39804,Lacaune,France
39805,Lacasse,France
39806,Lacapelle-Marival,France
39807,La Capelle-lès-Boulogne,France
39808,La Capelle,France
39809,La Canourgue,France
39810,Lacanau,France
39811,La Calmette,France
39812,La Buisse,France
39813,Labry,France
39814,Labruguière,France
39815,La Bruffière,France
39816,La Broque,France
39817,La Bridoire,France
39818,La Bresse,France
39819,La Boussac,France
39820,Labourse,France
39821,La Bourboule,France
39822,La Bouilladisse,France
39823,Labouheyre,France
39824,La Bouëxière,France
39825,La Bonneville-sur-Iton,France
39826,Laboissière-en-Thelle,France
39827,La Boissière-des-Landes,France
39828,La Boissière-de-Montaigu,France
39829,La Boisse,France
39830,La Bohalle,France
39831,Lablachère,France
39832,La Biolle,France
39833,Labeuvrière,France
39834,La Bernerie-en-Retz,France
39835,La Bernardière,France
39836,Labenne,France
39837,La Bégude-de-Mazenc,France
39838,Labégude,France
39839,Labège,France
39840,La Bazoge,France
39841,La Bazoche-Gouet,France
39842,Labatut,France
39843,La Bâtie-Neuve,France
39844,La Bâtie-Montgascon,France
39845,La Bâthie,France
39846,Labastidette,France
39847,Labastide-Saint-Sernin,France
39848,Labastide-Saint-Pierre,France
39849,Labastide-Saint-Georges,France
39850,Labastide-Rouairoux,France
39851,La Bastide-des-Jourdans,France
39852,Labastide-Beauvoir,France
39853,La Bassée,France
39854,Labarthe-sur-Lèze,France
39855,Labarthe-Rivière,France
39856,La Barthe-de-Neste,France
39857,La Barre-de-Monts,France
39858,Labaroche,France
39859,La Barasse,France
39860,La Balme-de-Sillingy,France
39861,La Baconnière,France
39862,Kuntzig,France
39863,Kunheim,France
39864,Kruth,France
39865,Krautergersheim,France
39866,Kœnigsmacker,France
39867,Knutange,France
39868,Kintzheim,France
39869,Kingersheim,France
39870,Kilstett,France
39871,Killem,France
39872,Keskastel,France
39873,Kervignac,France
39874,Kertzfeld,France
39875,Kersaint-Plabennec,France
39876,Kernilis,France
39877,Kerlouan,France
39878,Kerbach,France
39879,Kembs,France
39880,Kédange-sur-Canner,France
39881,Kaysersberg,France
39882,Kaltenhouse,France
39883,Juziers,France
39884,Juvisy-sur-Orge,France
39885,Juvigny-sous-Andaine,France
39886,Juvigné,France
39887,Juvignac,France
39888,Jussy,France
39889,Jussey,France
39890,Jussac,France
39891,Jurançon,France
39892,Jumilhac-le-Grand,France
39893,Jumièges,France
39894,Jumelles,France
39895,Jullouville,France
39896,Jujurieux,France
39897,Juilly,France
39898,Juillan,France
39899,Juillac,France
39900,Juigné-sur-Sarthe,France
39901,Juigné-sur-Loire,France
39902,Juigné,France
39903,Jugon-les-Lacs,France
39904,Joyeuse,France
39905,Jouy-sur-Morin,France
39906,Jouy-le-Potier,France
39907,Jouy-le-Moutier,France
39908,Jouy-le-Châtel,France
39909,Jouy-en-Josas,France
39910,Jouy-aux-Arches,France
39911,Jouy,France
39912,Joux-la-Ville,France
39913,Jouques,France
39914,Jougne,France
39915,Jouet-sur-l'Aubois,France
39916,Bourg de Joué-sur-Erdre,France
39917,Joué-lès-Tours,France
39918,Joudreville,France
39919,Jouars-Pontchartrain,France
39920,Jouarre,France
39921,Josselin,France
39922,Jonzieux,France
39923,Jonzac,France
39924,Jons,France
39925,Jonquières-Saint-Vincent,France
39926,Jonquières,France
39927,Jonquerettes,France
39928,Jonchery-sur-Vesle,France
39929,Joncherey,France
39930,Jonage,France
39931,Joinville-le-Pont,France
39932,Joinville,France
39933,Joigny,France
39934,Jœuf,France
39935,Job,France
39936,Jeumont,France
39937,Jenlain,France
39938,Jegun,France
39939,Jebsheim,France
39940,Jeanménil,France
39941,Javené,France
39942,Jaux,France
39943,Jausiers,France
39944,Jaunay-Clan,France
39945,Jaujac,France
39946,Jasseron,France
39947,Jassans-Riottier,France
39948,Jarzé,France
39949,Jarville-la-Malgrange,France
39950,Javron-les-Chapelles,France
39951,Jarrie,France
39952,Jarny,France
39953,Jarnac,France
39954,Jargeau,France
39955,Jard-sur-Mer,France
39956,Jardin,France
39957,Janzé,France
39958,Janville-sur-Juine,France
39959,Janville,France
39960,Jans,France
39961,Janneyrias,France
39962,Jallais,France
39963,Jacou,France
39964,Jacob-Bellecombette,France
39965,Izon,France
39966,Izernore,France
39967,Izeaux,France
39968,Iwuy,France
39969,Ivry-sur-Seine,France
39970,Ivry-la-Bataille,France
39971,Itxassou,France
39972,Itteville,France
39973,Ittenheim,France
39974,Iteuil,France
39975,Itancourt,France
39976,Istres,France
39977,Issy-les-Moulineaux,France
39978,Is-sur-Tille,France
39979,Issoudun,France
39980,Issou,France
39981,Issoire,France
39982,Issenheim,France
39983,Issé,France
39984,Isques,France
39985,Isneauville,France
39986,Isle,France
39987,Isigny-sur-Mer,France
39988,Isigny-le-Buat,France
39989,Isbergues,France
39990,Irvillac,France
39991,Irodouër,France
39992,Irmstett,France
39993,Irigny,France
39994,Innenheim,France
39995,Ingwiller,France
39996,Inguiniel,France
39997,Ingré,France
39998,Ingrandes,France
39999,Ingersheim,France
40000,Incheville,France
40001,Imphy,France
40002,Illzach,France
40003,Illkirch-Graffenstaden,France
40004,Illies,France
40005,Illfurth,France
40006,Ille-sur-Têt,France
40007,Illats,France
40008,Illange,France
40009,Igoville,France
40010,Igon,France
40011,Igny,France
40012,Igney,France
40013,Ifs,France
40014,Iffendic,France
40015,Idron,France
40016,Ibos,France
40017,Hyères,France
40018,Huttenheim,France
40019,Hussigny-Godbrange,France
40020,Husseren-Wesserling,France
40021,Hurigny,France
40022,Huriel,France
40023,Huningue,France
40024,Hundling,France
40025,Hulluch,France
40026,Huisseau-sur-Mauves,France
40027,Huisseau-sur-Cosson,France
40028,Huismes,France
40029,Huez,France
40030,Huelgoat,France
40031,Hoymille,France
40032,Houssen,France
40033,Hourtin,France
40034,Houppeville,France
40035,Houplines,France
40036,Houplin-Ancoisne,France
40037,Houlgate,France
40038,Houlbec-Cocherel,France
40039,Houilles,France
40040,Houdemont,France
40041,Houdan,France
40042,Houdain,France
40043,Hornoy-le-Bourg,France
40044,Hornaing,France
40045,Horgues,France
40046,Hordain,France
40047,Horbourg-Wihr,France
40048,Honfleur,France
40049,Hondschoote,France
40050,Homécourt,France
40051,Hombourg-Haut,France
40052,Homblières,France
40053,Hombleux,France
40054,Holving,France
40055,Holtzwihr,France
40056,Holtzheim,France
40057,Holnon,France
40058,Hœrdt,France
40059,Hœnheim,France
40060,Hochstatt,France
40061,Hochfelden,France
40062,Hirtzfelden,France
40063,Hirtzbach,France
40064,Hirson,France
40065,Hirsingue,France
40066,Hirel,France
40067,Hinx,France
40068,Hinges,France
40069,Hindisheim,France
40070,Hilsenheim,France
40071,Hillion,France
40072,Hiersac,France
40073,Hières-sur-Amby,France
40074,Heyrieux,France
40075,Heuringhem,France
40076,Heugas,France
40077,Heudreville-sur-Eure,France
40078,Hettange-Grande,France
40079,Hésingue,France
40080,Hesdin,France
40081,Herzeele,France
40082,Héry,France
40083,Hersin-Coupigny,France
40084,Herserange,France
40085,Herry,France
40086,Herrlisheim-près-Colmar,France
40087,Herrlisheim,France
40088,Hérouvillette,France
40089,Hérouville-Saint-Clair,France
40090,Hermonville,France
40091,Hermies,France
40092,Hermes,France
40093,Hermanville-sur-Mer,France
40094,Herlies,France
40095,Hérin,France
40096,Hérimoncourt,France
40097,Héricy,France
40098,Héricourt,France
40099,Héric,France
40100,Hergnies,France
40101,Hérépian,France
40102,Herblay,France
40103,Herbitzheim,France
40104,Herbignac,France
40105,Herbeys,France
40106,Herbault,France
40107,Henvic,France
40108,Henrichemont,France
40109,Hénouville,France
40110,Hénon,France
40111,Hennebont,France
40112,Hénin-Beaumont,France
40113,Hendaye,France
40114,Hénanbihen,France
40115,Hem,France
40116,Helfaut,France
40117,Hélesmes,France
40118,Heimsbrunn,France
40119,Heillecourt,France
40120,Hégenheim,France
40121,Hédé-Bazouges,France
40122,Hazebrouck,France
40123,Haybes,France
40124,Hayange,France
40125,Haverskerque,France
40126,Haveluy,France
40127,Hauville,France
40128,Hautot-sur-Mer,France
40129,Hautmont,France
40130,Yutz,France
40131,Hauteville-Lompnes,France
40132,Hauteville-lès-Dijon,France
40133,Haute-Rivoire,France
40134,Hauterives,France
40135,Hauterive,France
40136,Haute-Goulaine,France
40137,Hautefort,France
40138,Haussy,France
40139,Haulchin,France
40140,Haucourt,France
40141,Haubourdin,France
40142,Hatten,France
40143,Haspres,France
40144,Hasparren,France
40145,Hasnon,France
40146,Harnes,France
40147,Harly,France
40148,Hargarten-aux-Mines,France
40149,Harfleur,France
40150,Hardricourt,France
40151,Hardinghen,France
40152,Harbonnières,France
40153,Hanvec,France
40154,Hangenbieten,France
40155,Hanches,France
40156,Ham-sous-Varsberg,France
40157,Hames-Boucres,France
40158,Hambye,France
40159,Hambach,France
40160,Ham,France
40161,Halluin,France
40162,Hallines,France
40163,Hallennes-lez-Haubourdin,France
40164,Hallencourt,France
40165,Haisnes,France
40166,Haillicourt,France
40167,Haguenau,France
40168,Hagondange,France
40169,Hagetmau,France
40170,Hagenthal-le-Bas,France
40171,Hadol,France
40172,Habsheim,France
40173,Habas,France
40174,Gy,France
40175,Guyancourt,France
40176,Gurgy,France
40177,Gundershoffen,France
40178,Gumbrechtshoffen,France
40179,Gujan-Mestras,France
40180,Guîtres,France
40181,Guissény,France
40182,Guise,France
40183,Guiscriff,France
40184,Guiscard,France
40185,Guipry,France
40186,Guipel,France
40187,Guipavas,France
40188,Guingamp,France
40189,Guînes,France
40190,Guilvinec,France
40191,Guilliers,France
40192,Guillestre,France
40193,Guillac,France
40194,Guilherand-Granges,France
40195,Guilers,France
40196,Guignicourt,France
40197,Guignes,France
40198,Guignen,France
40199,Guiclan,France
40200,Guichen,France
40201,Guichainville,France
40202,Guewenheim,France
40203,Gueux,France
40204,Gueugnon,France
40205,Guéthary,France
40206,Guesnain,France
40207,Guerville,France
40208,Guern,France
40209,Guermantes,France
40210,Guerlesquin,France
40211,Guérigny,France
40212,Guéret,France
40213,Guéreins,France
40214,Guérard,France
40215,Guérande,France
40216,Guer,France
40217,Guenrouet,France
40218,Guénin,France
40219,Guengat,France
40220,Guénange,France
40221,Guémené-sur-Scorff,France
40222,Guémené-Penfao,France
40223,Guémar,France
40224,Guégon,France
40225,Guécélard,France
40226,Guebwiller,France
40227,Guarbecque,France
40228,Gruson,France
40229,Gruissan,France
40230,Gruffy,France
40231,Gruchet-le-Valasse,France
40232,Grosseto-Prugna,France
40233,Gros-Réderching,France
40234,Groslay,France
40235,Grosbreuil,France
40236,Grosbliederstroff,France
40237,Gron,France
40238,Groix,France
40239,Groisy,France
40240,Groissiat,France
40241,Groffliers,France
40242,Grisy-Suisnes,France
40243,Grisolles,France
40244,Grimaud,France
40245,Grillon,France
40246,Grigny,France
40247,Grigny,France
40248,Grignon,France
40249,Grignols,France
40250,Grignan,France
40251,Griesheim-sur-Souffel,France
40252,Griesheim-près-Molsheim,France
40253,Gries,France
40254,Grièges,France
40255,Grez-sur-Loing,France
40256,Grez-Neuville,France
40257,Grézieu-la-Varenne,France
40258,Gretz-Armainvilliers,France
40259,Grésy-sur-Isère,France
40260,Grésy-sur-Aix,France
40261,Gresswiller,France
40262,Gréoux-les-Bains,France
40263,Grenoble,France
40264,Grendelbruch,France
40265,Grenay,France
40266,Grenay,France
40267,Grenade-sur-l’Adour,France
40268,Grenade,France
40269,Gréasque,France
40270,Gray-la-Ville,France
40271,Gray,France
40272,Gravigny,France
40273,Graveson,France
40274,Gravelines,France
40275,Graulhet,France
40276,Gratentour,France
40277,Grasse,France
40278,Granville,France
40279,Grans,France
40280,Granges-sur-Vologne,France
40281,Grane,France
40282,Grandvilliers,France
40283,Grandvillars,France
40284,Grandris,France
40285,Gallargues-le-Montueux,France
40286,Grandfresnoy,France
40287,Grand-Fougeray,France
40288,Grand-Fort-Philippe,France
40289,Grandfontaine,France
40290,Grande-Synthe,France
40291,Grand-Couronne,France
40292,Grand-Charmont,France
40293,Grand-Champ,France
40294,Grandcamp-Maisy,France
40295,Grambois,France
40296,Gramat,France
40297,Grainville-sur-Odon,France
40298,Grainville-la-Teinturière,France
40299,Gragnague,France
40300,Gradignan,France
40301,Grâces,France
40302,Graçay,France
40303,Grabels,France
40304,Goven,France
40305,Gouzon,France
40306,Gouzeaucourt,France
40307,Gouy-sous-Bellonne,France
40308,Gouville-sur-Mer,France
40309,Gouvieux,France
40310,Gouvernes,France
40311,Goussainville,France
40312,Gournay-sur-Marne,France
40313,Gournay-en-Bray,France
40314,Gourin,France
40315,Gourdon,France
40316,Gourdan-Polignan,France
40317,Goult,France
40318,Gouézec,France
40319,Gouesnou,France
40320,Gouesnach,France
40321,Goudelin,France
40322,Goudargues,France
40323,Gouarec,France
40324,Gouaix,France
40325,Gosné,France
40326,Gosnay,France
40327,Gorze,France
40328,Gorron,France
40329,Gorges,France
40330,Gordes,France
40331,Gorcy,France
40332,Gorbio,France
40333,Gontaud-de-Nogaret,France
40334,Gonneville-la-Mallet,France
40335,Gonnehem,France
40336,Gonfaron,France
40337,Gonesse,France
40338,Gondrin,France
40339,Gondreville,France
40340,Gondrecourt-le-Château,France
40341,Gondecourt,France
40342,Goncelin,France
40343,Gommegnies,France
40344,Gometz-le-Châtel,France
40345,Gometz-la-Ville,France
40346,Golbey,France
40347,Goincourt,France
40348,Gœulzin,France
40349,Goetzenbruck,France
40350,Gœrsdorf,France
40351,Godewaersvelde,France
40352,Goderville,France
40353,Glomel,France
40354,Gleizé,France
40355,Givry,France
40356,Givrand,France
40357,Givors,France
40358,Givet,France
40359,Givenchy-en-Gohelle,France
40360,Gisors,France
40361,Giroussens,France
40362,Gironde-sur-Dropt,France
40363,Giromagny,France
40364,Giraumont,France
40365,Ginestas,France
40366,Ginasservis,France
40367,Gimont,France
40368,Gilly-sur-Isère,France
40369,Gillonnay,France
40370,Gilley,France
40371,Gilette,France
40372,Gignac-la-Nerthe,France
40373,Gignac,France
40374,Gigean,France
40375,Gif-sur-Yvette,France
40376,Gièvres,France
40377,Gières,France
40378,Gien,France
40379,Gidy,France
40380,Giberville,France
40381,Ghyvelde,France
40382,Ghisonaccia,France
40383,Gex,France
40384,Gevrey-Chambertin,France
40385,Gévezé,France
40386,Geudertheim,France
40387,Gétigné,France
40388,Gestel,France
40389,Gesté,France
40390,Gespunsart,France
40391,Gerzat,France
40392,Gerstheim,France
40393,Gergy,France
40394,Gerde,France
40395,Gerbéviller,France
40396,Gérardmer,France
40397,Ger,France
40398,Gentilly,France
40399,Gensac-la-Pallue,France
40400,Gennevilliers,France
40401,Gennes,France
40402,Genlis,France
40403,Génissieux,France
40404,Génissac,France
40405,Genillé,France
40406,Générac,France
40407,Génelard,France
40408,Genech,France
40409,Genay,France
40410,Genas,France
40411,Gémozac,France
40412,Gémenos,France
40413,Gelos,France
40414,Gelles,France
40415,Geispolsheim,France
40416,Gazeran,France
40417,Gavray,France
40418,Gauriaguet,France
40419,Gauchy,France
40420,Gattières,France
40421,Gasville-Oisème,France
40422,Gassin,France
40423,Gasny,France
40424,Garons,France
40425,Garnay,France
40426,Garlin,France
40427,Garidech,France
40428,Garges-lès-Gonesse,France
40429,Gargenville,France
40430,Gargas,France
40431,Garéoult,France
40432,Garennes-sur-Eure,France
40433,Gardouch,France
40434,Gardonne,France
40435,Gardanne,France
40436,Garchizy,France
40437,Garches,France
40438,Garat,France
40439,Garancières,France
40440,Gap,France
40441,Gannat,France
